#OTU ID,SRR30326224,SRR30326225,SRR30326226,SRR30326227,SRR30326228,SRR30326229
4abc45af31c044da4a5d738929c6fc28,115.0,0.0,0.0,0.0,0.0,0.0
d997c666b766841b208937bbfdfdb0b6,0.0,0.0,0.0,10.0,0.0,0.0
e4125f08a06bec8f0bcc4a8784d5521f,0.0,0.0,4.0,0.0,0.0,0.0
457d0c16bfd5ebfdfe19ee9c791ad413,0.0,0.0,3.0,0.0,0.0,0.0
1919b32a3a7effd1f4420cbfce9bb7cf,0.0,0.0,4.0,0.0,0.0,0.0
f835c588d3617a3561b5f8a2506d637d,0.0,0.0,0.0,0.0,37.0,0.0
4d6d80715853d37fbc033f21d6871fca,0.0,0.0,0.0,0.0,70.0,0.0
c6f480ad564fb740aee9faf71474c419,0.0,0.0,0.0,0.0,0.0,2.0
0f75c441b3ad0cb4e0966b9836f4a3cc,0.0,0.0,2.0,0.0,0.0,0.0
e2c6cd74e5abb83313cefb1554b2c328,0.0,0.0,0.0,3.0,0.0,0.0
9010536b07ef57ae663e5c036ee1a859,4.0,0.0,0.0,0.0,0.0,0.0
d002b4f95dcc1e0162eb2c0083799303,0.0,2.0,0.0,0.0,0.0,0.0
ea58dc770ec480d611e8316bd1f69474,0.0,0.0,2.0,0.0,0.0,0.0
8110fee4108b26bc8bd710319af62259,0.0,0.0,0.0,0.0,0.0,19.0
df56a42a915cf569420f6e230698a8eb,5.0,0.0,0.0,0.0,0.0,0.0
93e264e9f94543b9f5f69cbce42f1e13,0.0,0.0,21.0,0.0,0.0,0.0
75ce0e59970f529571816bf867e5b187,0.0,0.0,0.0,0.0,15.0,0.0
68ed24386a2eb407c81251b2d42e17a1,157.0,0.0,0.0,0.0,0.0,0.0
2a4d4e803794a38328dcd91c0934cd12,0.0,9.0,0.0,0.0,0.0,0.0
fa25f14e9e9722c316f7bb11a1732ded,0.0,0.0,5.0,0.0,0.0,0.0
e2af39259320dbfc14002b37b9f25837,0.0,0.0,27.0,0.0,0.0,0.0
2e3c3b85b8aba8455749143d6b3918f2,0.0,0.0,0.0,0.0,0.0,146.0
4701388db735da14575f16396b3861b3,0.0,0.0,0.0,0.0,78.0,0.0
e33cb847376fc8e2a363c49208af1b33,0.0,0.0,0.0,0.0,0.0,4.0
2b30d5a325910e7ef11762b912fbe12a,0.0,0.0,0.0,0.0,0.0,23.0
cf1f46fd6acfd09948f4860094be4a71,0.0,0.0,2.0,0.0,0.0,0.0
a7ca41964ae679f7df2a59a829ea968b,0.0,0.0,3.0,0.0,0.0,0.0
ac0ff1010b2c346af772cfa8aa4eb7af,0.0,0.0,7.0,0.0,0.0,0.0
211f74571b5abb985181c9ff028c000a,0.0,0.0,3.0,0.0,0.0,0.0
aee98ee44ff58e14c85a4b5ed5e39f94,0.0,0.0,0.0,0.0,1.0,0.0
8b6731dfaa1dd7229eb8b3ebd1bdcd0c,0.0,7.0,0.0,0.0,0.0,0.0
e10c4ebf1bf9f7517d669a153edd85bd,4.0,0.0,0.0,0.0,0.0,0.0
200114eb0dc97282d12ec334b2279aad,0.0,0.0,0.0,0.0,283.0,0.0
d485284db6f21ef7a2e2c495f5206cd8,0.0,0.0,0.0,0.0,0.0,6.0
6968ecd819e98f8b0d8fef048e9780cd,5.0,0.0,0.0,0.0,0.0,0.0
595c118bc299d4a33a8cccf34b71202c,0.0,0.0,0.0,0.0,0.0,4.0
cbbb71fbfbdf5d35a515735971b32277,0.0,3.0,0.0,0.0,0.0,0.0
6b727a8fe45c8e5c3f65675298fee55c,4.0,0.0,0.0,0.0,0.0,0.0
a82cb150fd8ccfaf544da95682a5fc23,177.0,188.0,587.0,35.0,0.0,0.0
c9c1d6ca339659f5f0084a02e80ca105,0.0,0.0,0.0,0.0,3.0,0.0
83d42ed461d7ddb9d2888dedc281119d,0.0,0.0,2.0,0.0,0.0,0.0
68ea76bc82b27c197a95be15fd1b105f,0.0,0.0,6.0,0.0,0.0,0.0
8b6a8fa942ae18601909d66274e52574,0.0,0.0,0.0,0.0,261.0,0.0
537d80e9c3725a24b592a4e780e34077,0.0,0.0,3.0,0.0,0.0,0.0
be9c9720f04cb68107a9b02f3ad6fdd9,0.0,0.0,96.0,0.0,0.0,0.0
e3d3163f13b82249fa00c4d6c60ea28d,14.0,0.0,0.0,0.0,0.0,0.0
5c2d98b08dd9d187332265eebefb58bb,0.0,0.0,2.0,0.0,0.0,0.0
0b8c718432351b97cbd824fc41c5929c,0.0,0.0,0.0,5.0,0.0,0.0
decc8100db9382475680963937cea64a,0.0,0.0,0.0,0.0,2.0,0.0
da661c520ea3f4a3110dd42e41d44d41,0.0,0.0,2.0,0.0,0.0,0.0
111361b7de689780e9653f911410c15b,0.0,0.0,2.0,0.0,0.0,0.0
a9cbe452464d23abfc004c0d477c1d8b,0.0,0.0,0.0,10.0,0.0,0.0
d7f9eabacfc7e33b93486f9894e12856,0.0,4.0,0.0,0.0,0.0,0.0
bcd8a83f2f030f91adc9c361992f9550,0.0,2.0,0.0,0.0,0.0,0.0
46ddc1cff304876c83d121052a0aa86b,0.0,0.0,0.0,0.0,0.0,3.0
945954e77efad6ea7724de5c78ef4894,0.0,0.0,0.0,7.0,0.0,0.0
0723aabfe77b35b4e03124cd8307ad16,0.0,0.0,0.0,16.0,0.0,0.0
8e7d8983b84a1fa339ef891f36d53514,0.0,0.0,0.0,4.0,0.0,0.0
c5db5e1ab0abc817cd84c86bc32fbb01,0.0,0.0,0.0,0.0,36.0,0.0
8a2a70cb99784d509eb2d84fb29571bd,0.0,0.0,0.0,3.0,0.0,0.0
c570263a23e9fac9d4f49fa6583dfea2,0.0,0.0,0.0,0.0,0.0,21.0
8c6bba5b5c78bdadecf00708aef51f53,0.0,0.0,30.0,0.0,0.0,0.0
cce741a8ed7c9f9068fc0fd235208814,0.0,0.0,0.0,3.0,0.0,0.0
7ca2eb2f062b3c209b5141b0cc513848,4.0,0.0,0.0,0.0,0.0,0.0
